"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2019","Astros","2309","6394","288","920","891","67","10.1 %","18.2 %",".221",".296",".274",".352",".495",".355","125","-9.5","196.6","-2.5","40.8"
"2016","Cubs","2332","6335","199","808","767","66","10.4 %","21.1 %",".173",".302",".256",".343",".429",".333","106","17.3","61.3","104.8","37.1"
"2011","Yankees","2301","6306","222","867","836","147","9.9 %","18.0 %",".181",".292",".263",".343",".444",".345","113","6.6","101.6","39.7","37.0"
"2015","Blue Jays","2337","6231","232","891","852","88","9.1 %","18.5 %",".188",".298",".269",".340",".457",".344","117","11.0","135.9","6.6","36.7"
"2011","Red Sox","2269","6414","203","875","842","102","9.0 %","17.3 %",".181",".314",".280",".349",".461",".352","117","-12.2","114.3","16.2","36.3"
"2013","Red Sox","2264","6382","178","853","819","123","9.1 %","20.5 %",".169",".329",".277",".349",".446",".347","114","13.3","116.7","11.9","36.2"
"2010","Reds","2370","6285","188","790","761","93","8.3 %","19.4 %",".164",".314",".272",".338",".436",".340","106","12.7","57.2","96.8","35.7"
"2016","Red Sox","2284","6320","208","878","836","83","8.8 %","18.4 %",".179",".320",".282",".348",".461",".346","113","10.6","109.9","15.9","35.2"
"2019","Dodgers","2413","6281","279","886","861","57","9.7 %","21.6 %",".215",".291",".257",".338",".472",".338","111","11.9","102.9","51.7","34.8"
"2018","Dodgers","2574","6358","235","804","756","75","10.2 %","22.6 %",".191",".294",".250",".333",".442",".333","111","11.4","99.1","38.3","34.8"
"2011","Rangers","2186","6261","210","855","807","143","7.6 %","14.9 %",".177",".304",".283",".340",".460",".347","112","20.6","107.4","5.3","33.9"
"2012","Angels","2267","6121","187","767","732","134","7.3 %","18.2 %",".159",".311",".274",".332",".433",".331","113","13.5","109.8","5.9","33.8"
"2017","Astros","2313","6271","238","896","854","98","8.1 %","17.3 %",".196",".309",".282",".346",".478",".349","121","-0.4","162.6","-37.9","33.7"
"2012","Yankees","2367","6231","245","804","774","93","9.1 %","18.9 %",".188",".293",".265",".337",".453",".342","113","2.3","97.3","12.1","33.6"
"2017","Dodgers","2464","6191","221","770","730","77","10.5 %","22.3 %",".188",".293",".249",".334",".437",".330","104","5.8","40.7","90.2","33.3"
"2019","Yankees","2312","6245","306","943","904","55","9.1 %","23.0 %",".222",".306",".267",".339",".490",".346","117","-0.8","130.8","-14.5","32.7"
"2018","Red Sox","2345","6302","208","876","829","125","9.0 %","19.9 %",".185",".309",".268",".339",".453",".340","110","-5.1","73.1","30.9","32.1"
"2014","Dodgers","2364","6231","134","718","686","138","8.3 %","20.0 %",".140",".318",".265",".333",".406",".327","112","-0.4","81.4","20.3","31.8"
"2018","Yankees","2269","6271","267","851","821","63","10.0 %","22.7 %",".202",".285",".249",".329",".451",".335","112","14.6","105.0","-4.6","31.7"
"2018","Athletics","2403","6255","227","813","778","35","8.8 %","22.1 %",".187",".294",".252",".325",".439",".329","111","-5.8","77.8","23.0","31.7"
"2014","Pirates","2362","6224","156","682","659","104","8.4 %","20.0 %",".145",".307",".259",".330",".404",".325","108","3.8","61.6","36.7","31.4"
"2010","Yankees","2313","6379","201","859","823","103","10.4 %","17.8 %",".169",".300",".267",".350",".436",".346","112","12.1","101.5","-24.8","31.2"
"2019","Twins","2320","6392","307","939","906","28","8.2 %","20.9 %",".224",".300",".270",".338",".494",".347","116","-8.4","120.2","-26.7","31.0"
"2010","Rays","2361","6270","160","802","769","172","10.7 %","20.6 %",".156",".293",".247",".333",".403",".326","106","37.6","78.6","-3.2","30.7"
"2011","Brewers","2292","6113","185","721","693","94","7.9 %","17.7 %",".164",".293",".261",".325",".425",".327","103","0.3","20.6","82.0","30.5"
"2011","Diamondbacks","2230","6096","172","731","702","133","8.7 %","20.5 %",".163",".294",".250",".322",".413",".322","97","9.0","-14.8","117.8","30.5"
"2014","Angels","2468","6284","155","773","729","81","7.8 %","20.1 %",".147",".305",".259",".322",".406",".321","110","1.3","67.3","11.5","30.4"
"2010","Brewers","2262","6304","182","750","710","81","8.7 %","19.3 %",".161",".304",".262",".335",".424",".334","104","0.6","32.4","66.3","30.0"
"2011","Cardinals","2403","6242","162","762","726","57","8.7 %","15.7 %",".151",".305",".273",".341",".425",".334","112","-16.5","72.3","17.7","29.6"
"2015","Giants","2342","6153","136","696","663","93","7.4 %","18.8 %",".139",".313",".267",".326",".406",".318","104","-0.4","25.6","62.0","29.5"
"2011","Reds","2358","6329","183","735","697","97","8.5 %","19.8 %",".152",".297",".256",".326",".408",".322","99","8.7","3.6","81.9","29.4"
"2017","Yankees","2294","6354","241","858","821","90","9.7 %","21.8 %",".185",".304",".262",".339",".447",".336","109","11.1","82.3","-6.5","29.2"
"2015","Dodgers","2379","6090","187","667","638","59","9.2 %","20.7 %",".163",".292",".250",".326",".413",".322","106","-15.3","28.2","57.3","29.0"
"2012","Giants","2384","6200","103","718","675","118","7.8 %","17.7 %",".128",".315",".269",".327",".397",".314","101","13.0","22.4","66.7","29.0"
"2019","Athletics","2363","6269","257","845","800","49","9.2 %","21.3 %",".199",".282",".249",".327",".448",".327","107","-1.7","53.4","18.3","28.5"
"2012","Cardinals","2391","6326","159","765","732","91","8.4 %","18.8 %",".150",".316",".271",".338",".421",".329","106","-1.6","46.5","33.9","28.5"
"2012","Brewers","2415","6224","202","776","741","158","7.5 %","19.9 %",".177",".299",".259",".325",".437",".329","102","12.1","29.5","52.2","28.3"
"2013","Rays","2423","6242","165","700","670","73","9.4 %","18.8 %",".151",".295",".257",".329",".408",".324","107","2.5","50.1","9.2","28.2"
"2018","Indians","2413","6300","216","818","786","135","8.8 %","18.9 %",".176",".291",".259",".332",".434",".330","104","13.7","45.6","16.8","27.9"
"2017","Marlins","2399","6248","194","778","743","91","7.8 %","20.5 %",".163",".313",".267",".331",".431",".325","101","1.4","9.0","65.7","27.9"
"2010","Twins","2290","6257","142","781","749","68","8.9 %","15.5 %",".148",".306",".273",".341",".422",".335","106","-15.8","29.5","17.9","27.8"
"2011","Rays","2284","6152","172","707","674","155","9.3 %","19.4 %",".159",".281",".244",".322",".402",".319","103","10.4","35.1","23.1","27.7"
"2013","Tigers","2274","6388","176","796","767","35","8.3 %","16.8 %",".151",".320",".283",".346",".434",".341","114","-19.0","83.7","-35.3","27.6"
"2019","Red Sox","2455","6475","245","901","857","68","9.1 %","21.3 %",".197",".313",".269",".340",".466",".338","106","-7.0","43.2","10.9","27.5"
"2018","Brewers","2496","6210","218","754","711","124","8.6 %","23.5 %",".172",".302",".252",".323",".424",".322","99","8.2","3.0","68.3","27.5"
"2014","Orioles","2294","6130","211","705","681","44","6.5 %","21.0 %",".166",".296",".256",".311",".422",".323","104","-6.2","21.9","34.4","27.4"
"2012","Braves","2264","6126","149","700","660","101","9.3 %","21.0 %",".142",".296",".247",".320",".389",".310","92","7.2","-48.9","123.8","27.3"
"2013","Giants","2396","6168","107","629","596","67","7.6 %","17.5 %",".121",".304",".260",".320",".381",".309","100","-4.1","-1.7","66.3","26.9"
"2019","Braves","2411","6302","249","855","824","89","9.8 %","23.3 %",".195",".305",".258",".336",".452",".332","102","11.0","26.4","46.2","26.9"
"2017","Cubs","2420","6283","223","822","785","62","9.9 %","22.3 %",".182",".302",".255",".338",".437",".331","101","-6.8","4.8","57.6","26.7"
"2017","Indians","2367","6234","212","818","780","88","9.7 %","18.5 %",".186",".295",".263",".339",".449",".336","105","11.1","48.8","6.8","26.7"
"2017","Cardinals","2416","6219","196","761","728","81","9.5 %","21.7 %",".170",".304",".256",".334",".426",".326","101","2.0","8.4","51.4","26.3"
"2014","Nationals","2265","6216","152","686","635","101","8.3 %","21.0 %",".140",".303",".253",".321",".393",".317","99","15.3","8.4","42.4","26.2"
"2013","Cardinals","2341","6202","125","783","745","45","7.8 %","17.9 %",".133",".314",".269",".332",".401",".322","104","-9.1","21.0","35.0","26.1"
"2015","Astros","2333","6073","230","729","691","121","8.0 %","22.9 %",".187",".292",".250",".315",".437",".325","108","8.1","66.8","-19.6","26.1"
"2018","Braves","2377","6251","175","759","717","90","8.2 %","20.6 %",".161",".302",".257",".324",".417",".319","97","12.6","-10.8","66.8","26.0"
"2019","Nationals","2327","6267","231","873","824","116","9.3 %","20.9 %",".190",".306",".265",".342",".454",".336","103","3.7","29.0","35.8","26.0"
"2017","Twins","2324","6261","206","815","781","95","9.5 %","21.4 %",".174",".306",".260",".334",".434",".329","103","14.4","39.7","7.2","26.0"
"2018","Astros","2348","6146","205","797","763","71","9.2 %","19.5 %",".170",".289",".255",".329",".425",".327","109","-7.0","60.1","-11.5","25.9"
"2016","Giants","2404","6271","130","715","675","79","9.1 %","17.7 %",".140",".299",".258",".329",".398",".315","96","-2.8","-34.8","92.8","25.9"
"2010","Giants","2354","6143","162","697","660","55","7.9 %","17.9 %",".151",".293",".257",".321",".408",".320","98","-18.3","-31.6","95.2","25.8"
"2018","Cardinals","2464","6200","205","759","725","63","8.5 %","22.3 %",".160",".294",".249",".321",".409",".316","99","12.9","8.3","47.1","25.8"
"2013","Orioles","2246","6144","212","745","719","79","6.8 %","18.3 %",".171",".288",".260",".313",".431",".323","101","13.8","16.4","22.7","25.7"
"2013","Braves","2293","6133","181","688","656","64","8.8 %","22.6 %",".153",".300",".249",".321",".402",".318","102","-5.7","3.8","50.1","25.6"
"2016","Dodgers","2491","6164","189","725","680","45","8.5 %","21.4 %",".160",".294",".249",".319",".409",".314","97","2.0","-20.2","77.9","25.5"
"2013","Dodgers","2336","6145","138","649","618","78","7.7 %","18.6 %",".133",".308",".264",".326",".396",".317","103","-8.0","14.7","37.2","25.5"
"2015","Cubs","2406","6200","171","689","657","95","9.1 %","24.5 %",".154",".305",".244",".321",".398",".313","96","15.1","-15.8","63.6","25.4"
"2014","Giants","2353","6087","132","665","636","56","7.0 %","20.5 %",".133",".304",".255",".311",".388",".308","99","0.5","-5.1","52.8","25.4"
